,Pdb,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,torsional clash,electrostatic kon,energy Ionisation
0,1oga,-15.2822,-0.667517,21.4471,-18.4408,2.51588,0.145119,-0.322129,0.0298688
2,5brz,-15.1929,-4.02971,20.6617,-17.9808,1.67318,1.03421,-0.176478,0.035308
4,4ms8,-12.6031,-1.04465,18.6142,-15.283,0.498598,0.0634808,-0.595875,5.55112e-17
6,5jzi,-18.1985,-4.65013,31.9758,-21.3802,2.05263,0.229821,-0.929295,-2.22045e-16
8,5sws,-16.969,-4.03434,25.8245,-20.5323,0.352619,0.0477111,-0.773514,5.55112e-17
10,1qse,-18.6349,-3.18812,27.7983,-21.9069,5.82951,0.699232,-0.443862,0.0130085
12,5bs0,-17.1243,-4.4697,23.031,-20.6292,1.97996,0.702685,-0.0175698,0.0126578
14,3mv8,-17.1892,-5.00674,26.857,-18.9859,0.556943,0.334833,-1.51192,0.164237
16,5jhd,-17.8395,-2.45815,24.9251,-23.146,2.06167,0.144413,-0.277304,0.00179097
18,3ffc,-19.6867,-1.34256,26.5014,-24.1209,1.53135,0.514604,-0.19622,2.77556e-17
20,3o4l,-18.7746,-3.55497,29.5041,-21.6341,2.95572,0.716535,-0.140355,-5.55112e-17
22,6am5,-17.352,-0.45738,24.8216,-21.0648,0.549692,0.198366,0.0207301,-1.11022e-16
24,6eqa,-17.2204,-1.26989,23.1331,-22.1698,3.00539,1.15072,-0.318254,0.0134555
26,4mnq,-22.8307,-3.84228,32.1033,-29.8588,2.77329,1.32374,-0.439447,0.0538473
28,5hho,-15.0635,-0.675244,21.4802,-18.7273,3.25063,0.288074,-0.31131,0.0162331
30,6avg,-22.033,-5.58883,35.5397,-23.6696,1.88892,0.906607,-0.642443,0.372032
32,6rsy,-22.8783,-3.4768,34.0003,-26.3606,5.18171,1.04318,-0.615149,0.0163242
34,4mji,-22.506,-4.30174,34.9587,-25.7315,6.91807,1.28579,-1.06735,0.0
36,5eu6,-18.3276,-1.85772,25.5558,-23.331,1.43458,0.0330824,-0.591994,0.0
38,1mwa,-17.0293,-1.60812,27.455,-19.1035,0.969994,0.183234,-0.146275,0.0100642
40,7jwi,-16.5114,-5.13048,24.1975,-20.0868,0.149416,0.0556774,-1.18213,1.11022e-16
42,5c08,-12.3909,-3.94719,19.1509,-14.5401,0.949012,0.781325,-0.525924,1.94289e-16
44,3hg1,-18.3734,-1.72537,26.3255,-23.1621,4.97413,0.647942,-0.219146,-6.245e-17
46,4nhu,-13.2832,-1.45765,17.1341,-17.6144,0.323293,0.0185135,-0.236947,0.000623585
48,3rgv,-12.7663,-0.842592,16.6906,-16.4312,1.29432,0.339381,-0.753199,0.0
50,1qrn,-18.3736,-3.32203,27.1105,-22.4484,5.28955,0.503219,-0.472449,0.0
52,2vlj,-14.213,-0.598103,20.0078,-17.0848,2.33419,0.463598,-0.351008,0.0602388
54,4prh,-19.3616,-3.11657,29.2726,-22.036,1.56429,0.141912,-1.04856,0.0292894
56,6vqo,-14.8149,-2.82571,21.6464,-16.6437,2.18235,0.933355,-0.624935,0.0889962
58,6rpa,-23.7088,0.137029,32.5559,-28.7836,1.99149,0.179271,-0.0257469,0.0779478
60,5m00,-13.2491,-5.44889,21.9863,-14.5608,1.02593,0.201969,-1.46271,0.0674823
62,5nmf,-20.0426,-1.15867,30.6576,-21.9573,1.11766,0.887792,-0.161176,-1.66533e-16
64,5m02,-15.9231,-5.73834,25.9467,-17.6945,2.33487,0.451214,-1.41431,0.0387912
66,5tje,-15.1553,-4.77697,23.9972,-16.6494,5.10983,0.320819,-1.31906,0.0754143
68,5c07,-13.4044,-3.09483,19.7022,-16.6443,1.18661,0.388458,-0.32053,1.94289e-16
70,3uts,-10.1283,-2.27823,15.1684,-12.4951,0.529189,0.959747,-0.256679,0.0
72,5e6i,-18.8933,-1.26192,26.8508,-24.2992,4.64962,1.55037,-0.392683,0.0
74,2p5e,-23.7303,-2.01325,27.3896,-32.1809,5.5001,0.192878,-0.332331,0.00456708
76,2f54,-23.5638,-1.10063,29.8833,-29.926,8.21957,0.949418,-0.268967,0.00974865
78,3d3v,-16.0767,-3.63982,23.9759,-19.6783,0.371782,0.216166,-0.473812,-1.11022e-16
80,2f53,-23.8149,-1.38854,28.4123,-31.4131,5.02263,0.224936,-0.240945,0.0028685
82,6g9q,-13.3581,-3.76175,20.6749,-15.289,0.952665,0.409156,-1.0617,0.0566087
84,6l9l,-14.2854,-0.540758,20.3855,-17.0993,3.36488,0.326098,-0.076241,0.0267372
86,2j8u,-16.5422,-0.456516,20.6343,-21.5555,1.70641,0.0303242,-0.314093,0.00561116
88,5hyj,-13.5635,-3.5016,20.0615,-16.6325,3.29879,0.74204,-0.327669,-1.11022e-16
90,6vrn,-14.3448,-0.889829,22.0663,-15.8362,1.18938,0.290574,-0.731831,0.0894192
