,Pdb,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,torsional clash,electrostatic kon,energy Ionisation
0,2pxy,-19.3031,-3.7376,30.2025,-20.4916,7.10651,1.03474,-0.522234,0.0130761
1,2ian,-18.086,-1.29589,23.8747,-23.1149,1.69659,0.371038,-0.238335,0.15898
2,5ksa,-16.1215,-1.66158,20.8215,-19.149,6.47179,0.414544,-0.166066,0.0615605
3,6cqq,-12.5412,-0.395982,16.5967,-16.7873,4.13328,0.42829,0.0512347,1.11022e-16
4,6u3o,-14.3416,-2.49795,19.7593,-17.835,1.2462,0.410468,-0.19616,0.377401
5,2z31,-16.9886,-2.95654,24.9842,-18.7517,7.29971,1.83347,-0.145993,0.0138769
6,3c5z,-17.3905,-1.77544,28.7731,-18.6067,2.13109,0.687433,-0.608174,0.0302972
7,6mnm,-13.8774,-0.247829,18.0509,-17.5522,2.70657,0.449074,0.152405,0.0138442
8,1ymm,-15.165,0.45332,23.3969,-17.5095,3.63461,0.958636,0.234395,0.0908998
9,3qiw,-24.141,-2.4751,35.1829,-28.6391,19.4695,0.948203,-0.216992,0.039275
10,3qib,-25.2421,-5.45407,36.9255,-30.5256,3.21792,1.49598,-0.808416,0.0350077
11,1zgl,-19.3903,-3.38546,30.0918,-22.9102,5.87341,0.866801,-0.591425,0.0326436
12,5ks9,-19.7949,-5.87042,28.8364,-22.5658,6.98299,0.378738,-0.563562,0.0675879
13,2iam,-19.6161,-2.04933,27.6266,-25.4394,5.27915,0.92552,-0.330518,0.38703
14,4p23,-13.5726,-2.25696,20.4866,-16.6866,0.680073,0.0984209,-0.264768,0.0143614
15,3qiu,-25.0624,-3.24166,39.7644,-28.0247,5.63402,1.41311,-0.206348,0.0347374
16,6dfw,-16.9467,-6.27807,30.3249,-17.2713,6.36932,2.32926,-1.26272,0.103663
17,4ozg,-17.801,-2.50879,23.2299,-21.8683,1.76576,0.500239,-0.24123,0.239564
18,3t0e,-18.4476,-0.537678,30.6838,-21.7906,10.6233,0.80833,-0.00807496,0.0726395
19,4may,-13.6831,-3.78273,19.9756,-17.3427,2.94834,0.155603,-0.591327,0.106953
20,4p2q,-17.5098,-1.81852,24.9267,-20.8002,18.8234,0.538864,-0.282462,0.0400397
21,1d9k,-16.6745,-2.92954,24.4845,-19.8992,5.05543,1.19066,-0.408992,0.24908
22,6dfx,-16.1117,-1.57053,24.4727,-17.6089,2.58725,0.316879,-0.406556,0.0447637
23,6mng,-13.0785,-0.697276,17.706,-16.263,0.77932,0.596953,-0.0727199,0.0113853
24,6bga,-23.4469,-3.11636,33.9166,-27.616,7.49458,0.567382,-0.803166,0.053363
25,6u3n,-19.3635,-1.51802,28.0287,-22.9237,4.03632,0.450678,-0.181105,0.00923747
26,6mkr,-12.5159,-0.0643205,17.393,-15.6083,0.760796,0.275403,0.200388,0.00981224
27,4ozf,-14.9231,-1.30887,21.0618,-17.7724,2.77366,0.201154,-0.026595,0.040535
28,4grl,-13.002,-2.82091,18.8794,-17.108,1.52265,0.625649,-0.573252,0.0323539
29,3mbe,-23.4171,-6.07055,39.5415,-25.2339,7.04111,1.43157,-1.34705,0.0343387
30,4z7w,-17.4469,-3.10889,29.3453,-19.2905,10.7272,0.380474,-0.482294,0.412632
31,3pl6,-10.4252,-1.45216,14.3321,-13.7946,0.36514,0.141417,-0.344219,0.0397499
32,3rdt,-13.4807,-1.24217,19.8402,-16.7028,0.592855,0.153945,0.00466561,0.0110159
33,5ksb,-16.5223,-4.60691,24.1172,-18.2218,0.51082,0.243924,-0.573532,0.0295651
34,1fyt,-17.4265,-2.76611,25.9491,-24.3953,2.09239,0.563575,-0.385452,0.0418205
35,6px6,-16.9905,-1.52729,23.9432,-20.8538,1.36737,0.599592,-0.304073,0.105009
36,6py2,-15.3098,-2.67606,24.4643,-18.897,1.116,0.30065,-0.319922,-2.77556e-17
37,3c60,-12.3443,-1.72764,16.1231,-16.3653,4.09435,0.205074,-0.169555,0.0260261
38,2wbj,-16.1462,-2.24366,26.2347,-17.5636,0.908584,0.57441,-0.365095,0.0642718
39,6dfs,-13.7322,-1.01566,21.5995,-14.7808,1.28568,0.946124,-0.0973158,0.153637
40,4y19,-9.99315,-0.766205,17.2048,-11.9692,0.494908,0.0433047,-0.177124,0.0152375
41,4p5t,-16.822,-2.26785,24.9889,-20.8832,2.71461,0.53069,-0.422514,0.03238
42,6cql,-14.7136,-0.181994,19.54,-18.6516,3.91528,0.513017,-0.027044,5.55112e-17
43,6mkd,-13.8585,-0.798111,18.3164,-17.798,1.43832,0.307436,-0.227751,0.0172872
44,4z7v,-16.2995,-6.00946,25.507,-18.0424,9.54438,0.683917,0.0033889,0.119681
45,6cqn,-13.6874,-1.15114,16.6469,-18.741,1.47811,0.368673,-0.0886624,0.0
46,4gg6,-12.9778,-2.93301,17.2144,-15.8587,3.71678,0.0715959,-0.272474,0.0714714
47,4e41,-16.9444,-2.37934,25.2293,-21.3547,2.76581,0.228609,-0.416911,0.13915
48,1u3h,-14.9323,-4.81538,22.1594,-16.8445,14.8296,0.211021,-0.718485,0.00946317
49,4p2r,-18.5367,-2.64042,26.5674,-22.2128,2.21311,1.52247,-0.367753,0.0557775
50,4p4k,-14.3794,-4.44074,22.3653,-17.6797,2.90209,0.215907,-0.395912,0.013947
51,3c6l,-16.5829,-4.86239,27.4896,-19.353,3.62054,0.323438,-0.764493,0.00320437
52,4ozh,-17.6099,-1.56044,24.9922,-20.6613,1.60187,0.675644,-0.237473,0.241432
53,4z7u,-15.6374,-3.6714,20.605,-18.8703,3.2064,0.20882,-0.661367,0.160915
54,4p2o,-21.3326,-2.72563,31.5187,-25.8361,3.45864,0.86009,-0.659957,0.0587697
55,4y1a,-8.35761,-0.0635251,14.8165,-9.84027,1.24119,0.799038,0.176523,-4.44089e-16
56,6mno,-12.7608,-0.662197,16.3857,-16.2962,2.39814,0.40841,0.0143729,0.0182641
57,1j8h,-17.9156,-2.55235,26.6286,-24.4435,2.68205,0.656895,-0.146313,0.0586873
58,6mnn,-12.9875,-0.560808,17.1996,-16.3738,1.13854,0.280112,0.052636,0.012802
59,4p46,-13.3662,-2.38732,20.4309,-16.9124,0.506061,0.204377,-0.359961,0.0103792
60,4ozi,-17.1453,-1.94143,21.8734,-21.1655,2.08906,0.690963,-0.384004,0.0794826
61,4h1l,-17.557,-2.46387,26.5737,-20.3257,4.36759,1.33231,-0.62471,0.0418224
62,6cqr,-12.5368,-0.693816,15.5312,-16.7275,1.32698,0.769062,-0.224756,0.0
63,3o6f,-16.4182,-0.975879,26.2854,-19.0716,13.2351,0.649051,0.0189567,0.0494956
