,Pdb,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,Interaction Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,Is_Answer
0,2pxy,A,D,58.208,57.375,-15.2814,-5.75828,-14.5105,-19.3031,-3.7376,30.2025,-20.4916,7.10651,8.28207,2.44574,0,0,0.0,1.03474,5.72245,-0.0427355,0,0.0,-0.522234,0,0.0130761,2.384,426,56,2,2,0,0
1,2ian,A,D,40.3366,48.9027,-13.8043,-3.35558,-6.65011,-18.086,-1.29589,23.8747,-23.1149,1.69659,9.24214,3.58026,0,0,0.0,0.371038,4.03909,0.0128105,0,0.0,-0.238335,0,0.15898,2.384,420,56,0,0,0,0
2,5ksa,A,D,20.8178,15.437,-13.1393,-2.51309,-10.2287,-16.1215,-1.66158,20.8215,-19.149,6.47179,8.18358,0.697885,0,0,0.0,0.414544,2.84869,0.049655,0,0.0,-0.166066,0,0.0615605,2.384,427,54,2,2,0,0
3,6cqq,A,D,32.8254,18.0212,-6.62554,-1.72905,-4.87033,-12.5412,-0.395982,16.5967,-16.7873,4.13328,6.39469,2.09614,0,0,-4.44089e-16,0.42829,2.58161,-0.00201068,0,0.0,0.0512347,0,1.11022e-16,2.384,428,45,2,2,0,0
4,6u3o,A,D,28.1656,26.5063,-13.8188,-2.68285,-7.28414,-14.3416,-2.49795,19.7593,-17.835,1.2462,6.95604,2.2445,0,0,2.22045e-16,0.410468,1.59723,0.0249501,0,0.0,-0.19616,0,0.377401,2.384,425,52,0,0,0,0
5,2z31,A,D,89.3308,95.2983,-5.83021,-2.77514,-8.10405,-16.9886,-2.95654,24.9842,-18.7517,7.29971,7.19214,2.63135,0,0,2.22045e-16,1.83347,3.82274,-0.0629789,0,0.0,-0.145993,0,0.0138769,2.384,424,54,2,2,0,0
6,3c5z,A,D,52.1907,55.3952,-8.71957,-5.14764,-12.8011,-17.3905,-1.77544,28.7731,-18.6067,2.13109,12.2111,3.80978,0,0,4.44089e-16,0.687433,4.10092,-0.032776,0,0.0,-0.608174,0,0.0302972,2.384,425,57,0,0,0,0
7,6mnm,A,D,38.3388,35.6948,-10.2391,-2.98619,-6.49587,-13.8774,-0.247829,18.0509,-17.5522,2.70657,7.85985,1.70774,0,0,0.0,0.449074,2.16522,-0.0200631,0,1.77636e-15,0.152405,0,0.0138442,2.384,426,41,0,0,0,0
8,1ymm,A,D,104.656,293.359,-2.79612,-2.21257,-8.12945,-15.165,0.45332,23.3969,-17.5095,3.63461,7.21425,4.24075,0,0,0.0,0.958636,6.47098,-0.003352,0,-1.77636e-15,0.234395,0,0.0908998,2.384,417,45,0,0,0,0
9,3qiw,A,D,57.8994,53.9069,-0.842823,-5.68465,-10.7919,-24.141,-2.4751,35.1829,-28.6391,19.4695,12.6997,2.77929,0,0,0.0,0.948203,4.5194,-0.0130053,0,0.0,-0.216992,0,0.039275,2.384,424,67,3,3,0,0
10,3qib,A,D,51.2833,43.8854,-25.2334,-5.79333,-16.7819,-25.2421,-5.45407,36.9255,-30.5256,3.21792,13.864,3.81334,0,0,0.0,1.49598,4.73954,0.0202643,0,1.77636e-15,-0.808416,0,0.0350077,2.384,426,66,0,0,0,0
11,1zgl,A,D,89.607,203.805,-3.77136,-2.65173,-6.95797,-19.3903,-3.38546,30.0918,-22.9102,5.87341,9.33869,5.84539,0,0,0.0,0.866801,4.95625,0.0669395,0,0.0,-0.591425,0,0.0326436,2.384,432,60,0,0,0,0
12,5ks9,A,D,23.4444,13.5219,-9.83445,-1.80293,-11.1472,-19.7949,-5.87042,28.8364,-22.5658,6.98299,10.6361,4.98641,0,0,0.0,0.378738,3.38431,0.0220981,0,1.77636e-15,-0.563562,0,0.0675879,2.384,425,65,3,3,0,0
13,2iam,A,D,49.6574,66.8409,-9.43464,-3.69936,-4.93609,-19.6161,-2.04933,27.6266,-25.4394,5.27915,8.90638,3.53619,0,0,0.0,0.92552,5.4899,-0.0247342,0,0.0,-0.330518,0,0.38703,2.384,421,57,2,2,0,0
14,4p23,A,D,29.3379,22.1516,-10.0853,-2.62956,-7.45413,-13.5726,-2.25696,20.4866,-16.6866,0.680073,9.75171,1.83166,0,0,0.0,0.0984209,1.21971,-0.0834842,0,0.0,-0.264768,0,0.0143614,2.384,423,41,0,0,0,0
15,3qiu,A,D,36.7949,41.9726,-15.2859,-6.36484,-17.9818,-25.0624,-3.24166,39.7644,-28.0247,5.63402,14.4541,4.29717,0,0,0.0,1.41311,4.9861,-0.00169737,0,-1.77636e-15,-0.206348,0,0.0347374,2.384,424,67,1,1,0,0
16,6dfw,A,D,59.4609,56.8468,1.5232,-2.58565,-9.8214,-16.9467,-6.27807,30.3249,-17.2713,6.36932,10.0059,4.65144,0,0,1.90824,2.32926,3.509,-0.00360207,0,0.0,-1.26272,0,0.103663,2.384,429,52,2,2,0,0
17,4ozg,A,D,23.9611,36.6893,-14.6021,-2.96493,-8.13539,-17.801,-2.50879,23.2299,-21.8683,1.76576,10.1518,3.03233,0,0,0.00424034,0.500239,1.8218,-0.00627313,0,0.0,-0.24123,0,0.239564,2.384,423,55,0,0,0,0
18,3t0e,A,D,97.5573,94.162,7.18759,-3.89429,-5.71778,-18.4476,-0.537678,30.6838,-21.7906,10.6233,8.79874,6.59557,0,0,0.0,0.80833,5.1279,0.00121966,0,0.0,-0.00807496,0,0.0726395,2.384,427,59,3,2,1,0
19,4may,A,D,29.6638,21.5173,-10.4132,-1.714,-3.51451,-13.6831,-3.78273,19.9756,-17.3427,2.94834,4.53646,2.549,0,0,0.0,0.155603,2.64985,-0.0567976,0,-1.77636e-15,-0.591327,0,0.106953,2.384,428,45,2,2,0,0
20,4p2q,A,D,39.7867,36.7573,1.26279,-5.19376,-7.50349,-17.5098,-1.81852,24.9267,-20.8002,18.8234,6.90713,3.09766,0,0,0.0,0.538864,2.89802,0.0372038,0,0.0,-0.282462,0,0.0400397,2.384,428,51,4,4,0,0
21,1d9k,A,D,111.486,161.64,-9.48402,-4.06946,-10.435,-16.6745,-2.92954,24.4845,-19.8992,5.05543,11.6919,2.31823,0,0,-2.77556e-17,1.19066,5.40663,-0.0570716,0,0.0,-0.408992,0,0.24908,2.384,423,49,0,0,0,0
22,6dfx,A,D,30.0995,33.8735,-11.267,-2.61556,-9.39512,-16.1117,-1.57053,24.4727,-17.6089,2.58725,5.79584,3.17955,0,0,-2.22045e-16,0.316879,2.84097,0.0443127,0,0.0,-0.406556,0,0.0447637,2.384,417,54,0,0,0,0
23,6mng,A,D,51.2004,37.9656,-9.05342,-2.31954,-7.20051,-13.0785,-0.697276,17.706,-16.263,0.77932,9.0083,2.50472,0,0,0.0,0.596953,2.11606,-0.0286314,0,0.0,-0.0727199,0,0.0113853,2.384,426,40,0,0,0,0
24,6bga,A,D,35.6626,20.6813,-13.9817,-6.89189,-14.397,-23.4469,-3.11636,33.9166,-27.616,7.49458,15.7806,4.59529,0,0,0.0,0.567382,4.33393,-0.118325,0,-1.77636e-15,-0.803166,0,0.053363,2.384,428,69,2,2,0,0
25,6u3n,A,D,35.3252,29.1917,-5.88163,-4.07689,-7.36566,-19.3635,-1.51802,28.0287,-22.9237,4.03632,11.9904,5.03714,0,0,0.0,0.450678,2.60714,-0.00525067,0,1.77636e-15,-0.181105,0,0.00923747,2.384,428,58,2,2,0,0
26,6mkr,A,D,53.5755,37.0147,-7.56557,-2.65329,-5.09668,-12.5159,-0.0643205,17.393,-15.6083,0.760796,7.27788,2.46536,0,0,0.0,0.275403,2.7789,-0.00972069,0,0.0,0.200388,0,0.00981224,2.384,427,36,0,0,0,0
27,4ozf,A,D,22.4073,30.2301,-14.3149,-3.017,-10.1793,-14.9231,-1.30887,21.0618,-17.7724,2.77366,6.53894,2.26978,0,0,2.22045e-16,0.201154,1.89387,0.0265549,0,1.77636e-15,-0.026595,0,0.040535,2.384,425,52,0,0,0,0
28,4grl,A,D,46.1227,55.4254,-9.2154,-1.52826,-3.62854,-13.002,-2.82091,18.8794,-17.108,1.52265,5.13223,3.29182,0,0,0.0,0.625649,2.68742,-0.0386023,0,0.0,-0.573252,0,0.0323539,2.384,428,39,0,0,0,0
29,3mbe,A,D,62.4486,73.9427,-2.48923,-3.05442,-12.6389,-23.4171,-6.07055,39.5415,-25.2339,7.04111,13.6678,6.26012,0,0,1.27137,1.43157,6.2703,0.0248885,0,0.0,-1.34705,0,0.0343387,2.384,424,66,4,3,1,0
30,4z7w,A,D,26.3329,9.29008,-0.339911,-2.615,-7.52449,-17.4469,-3.10889,29.3453,-19.2905,10.7272,7.34438,1.92997,0,0,0.0,0.380474,3.07233,-0.0118141,0,0.0,-0.482294,0,0.412632,2.384,427,59,4,4,0,0
31,3pl6,A,D,50.469,59.9896,-10.1409,-1.0642,-3.21783,-10.4252,-1.45216,14.3321,-13.7946,0.36514,3.10914,2.21601,0,0,0.0,0.141417,2.4507,-0.0461209,0,1.77636e-15,-0.344219,0,0.0397499,2.384,428,39,0,0,0,0
32,3rdt,A,D,49.0472,44.8979,-8.03628,-1.94929,-7.08808,-13.4807,-1.24217,19.8402,-16.7028,0.592855,10.1867,1.75976,0,0,0.0,0.153945,1.70621,-0.122299,0,0.0,0.00466561,0,0.0110159,2.384,423,37,0,0,0,0
33,5ksb,A,D,23.2577,12.47,-16.055,-1.28005,-9.29564,-16.5223,-4.60691,24.1172,-18.2218,0.51082,7.70702,1.83023,0,0,0.0,0.243924,2.26765,0.00652527,0,0.0,-0.573532,0,0.0295651,2.384,426,52,0,0,0,0
34,1fyt,A,D,52.3774,64.8569,-9.38701,-2.39732,-5.20684,-17.4265,-2.76611,25.9491,-24.3953,2.09239,11.521,3.09691,0,0,0.0,0.563575,3.49946,-0.0741594,0,0.0,-0.385452,0,0.0418205,2.384,429,61,0,0,0,0
35,6px6,A,D,42.1506,31.498,-14.6622,-2.36555,-7.51152,-16.9905,-1.52729,23.9432,-20.8538,1.36737,5.86528,3.08967,0,0,0.0,0.599592,3.02201,-0.0795969,0,-1.77636e-15,-0.304073,0,0.105009,2.384,426,55,0,0,0,0
36,6py2,A,D,20.201,33.3724,-7.02334,-1.42237,-7.01046,-15.3098,-2.67606,24.4643,-18.897,1.116,9.21335,3.62835,0,0,0.0,0.30065,3.41539,-0.11042,0,0.0,-0.319922,0,-2.77556e-17,2.384,429,48,0,0,0,0
37,3c60,A,D,69.6449,83.2796,-10.7022,-0.478746,-10.686,-12.3443,-1.72764,16.1231,-16.3653,4.09435,9.3703,1.27766,0,0,0.0,0.205074,1.54144,-0.0270593,0,0.0,-0.169555,0,0.0260261,2.384,423,39,0,0,0,0
38,2wbj,A,D,23.859,36.8567,-8.44912,-4.12033,-8.87292,-16.1462,-2.24366,26.2347,-17.5636,0.908584,8.49267,4.58375,0,0,0.0,0.57441,3.80402,0.00429672,0,-1.77636e-15,-0.365095,0,0.0642718,2.384,433,51,0,0,0,0
39,6dfs,A,D,52.758,77.7438,-7.04035,-3.22607,-6.42115,-13.7322,-1.01566,21.5995,-14.7808,1.28568,5.07462,3.04185,0,0,-2.22045e-16,0.946124,4.07188,0.131352,0,1.77636e-15,-0.0973158,0,0.153637,2.384,431,46,0,0,0,0
40,4y19,A,D,17.6089,19.3951,-0.532284,-1.42047,-6.22312,-9.99315,-0.766205,17.2048,-11.9692,0.494908,9.81624,2.46792,0,0,0.0,0.0433047,1.2505,-0.0253984,0,0.0,-0.177124,0,0.0152375,2.384,431,39,0,0,0,0
41,4p5t,A,D,45.9262,38.6324,-8.60204,-2.53769,-6.54964,-16.822,-2.26785,24.9889,-20.8832,2.71461,11.2753,1.31829,0,0,0.0,0.53069,2.23365,0.0207402,0,0.0,-0.422514,0,0.03238,2.384,425,49,0,0,0,0
